Site_Num,STAID,STANAME,Q_Avg,Q100,Q710,record_length,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,LAT_CENT,DRAIN_SQKM,LAT_GAGE,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAX_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,FLOWYRS_1900_2009,FLOWYRS_1950_2009,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,PERDUN,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,FRESHW_WITHDRAWAL,FRAGUN_BASIN,FORESTNLCD06,DECIDNLCD06,PDEN_2000_BLOCK,NUTR_ECO_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_PCT_100M,PNV_BAS_DOM,PNV_BAS_PCT,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MEDIAN_M_BASIN,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES
59,1360640,VALATIE KILL NEAR NASSAU NY,14.14359355,1135.9,0.167272996,27,10,1.28,42.579376,24.9,42.55203,108.59,105.66,7.73,8.1,13.65,14.1,69,69,273,129.8,274,128,126.2,123,12,9.1,12,9,608.5,26.8,0.094,7.47,6,8.12,9.23,10.74,10.47,10.21,10.73,9.58,8.92,9.4,7.62,6.97,13.24,18.13,20.7,19.71,15.26,9.19,19,19,0.52,1.31,44.4,2,12.1,297.6,389,17.4,11.6,35.6,97.2,80.3,48.4,28.7,19.4,18.5,25.5,41.1,31.4,455.3,21.5,43.4,69.41,40.67,28.94,7,8.1,83,100,96.7,50,100,0.11,2.03,1.48,1.24,3,49.71,68.41,44.9,61.33,8.56,65.34,26.09,0.23,101.37,229,409,224,0.348,0.33,7.6,230.3
60,1361500,CATSKILL CREEK AT OAK HILL NY,125.4472837,17454.5,0.169746459,99,10,2.48,42.468099,252.7,42.404526,103.83,101.08,6.55,7.5,12.85,13.9,67.4,66,268.8,138.7,272,136,122.4,118,12,8.8,11,8,559.3,29.8,0.076,7.15,6.18,8.23,8.99,10.11,10.35,9.31,9.12,9.38,8.62,9.27,7.29,5.57,11.82,16.68,19.24,18.08,14.09,8.32,48,28,0.46,1.21,34.8,1.7,10.35,102.9,394.2,14.3,9.1,24.1,89.7,97,58.4,33.1,20.6,22,30.3,40.8,26.4,465.9,89,28.8,78.55,48.71,8.59,8,5.3,58,100,95.2,50,77.4,0.11,1.05,1.41,1.27,3.77,47.18,63.01,41.23,56.23,15.95,57.21,26.84,0.26,90.26,483.3,876,502,0.43,0.457,13.1,102.9
61,1362198,ESOPUS CREEK AT SHANDAKEN NY,137.1421334,29096.2,4.344976579,26,14,2.43,42.102066,154.1,42.116479,130.02,121.38,5.51,6,11.33,13.7,68.4,68,267.3,137.8,269,135,114.9,105,10.9,8,10,7,514.6,34.3,0.032,10.19,7.94,11.29,10.63,12.35,11.64,11.39,10.11,11.64,10.92,11.74,10.21,4.76,11.03,15.57,18.05,17.24,13.3,7.62,25,25,0.29,1.7,46.8,2.1,10.03,26.1,393.5,22.3,11.9,20.4,94.1,155.4,127.6,81.2,53.5,53.5,64.5,75.5,42.6,802.5,178.4,7.9,96.48,89.04,5.7,8,5.3,58,100,34.6,50,83.1,0.1,1.42,1.4,0.72,5.32,34.44,55.42,35.25,47.73,15.02,59.07,25.91,0.23,126.7,674.8,1128,669,0.445,0.438,27.8,119.8
62,1362200,ESOPUS CREEK AT ALLABEN NY,152.6585671,32359,4.889047559,55,15,2.07,42.10102,169.2,42.117034,130.61,122.98,5.53,6,11.32,13.7,68.3,68,267.4,137.6,269,135,114.6,105,10.8,8,10,7,515.3,34.2,0.032,10.24,7.99,11.32,10.69,12.39,11.68,11.39,10.15,11.67,10.95,11.78,10.22,4.78,11.05,15.59,18.07,17.26,13.31,7.64,46,46,0.28,1.75,46.8,2.1,9.97,27.3,395.3,22.5,12,20.9,95.2,155.7,127.3,80.7,53.2,53.3,64.5,75.8,43,804.2,179.8,7.7,96.69,88.34,5.77,8,5.3,58,100,37.4,50,83.8,0.1,1.43,1.4,0.72,5.33,34.29,55.37,35.2,47.68,15.03,59.04,25.94,0.23,127.41,675.5,1175,669,0.427,0.419,28,79.4
63,1362370,STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY,96.58409667,13515.1,4.739162514,24,6,3.4,42.129825,80.2,42.102028,148.58,146.48,5.44,6.2,11.54,12.6,69.4,68,267.2,140.8,270,135,120.1,113,11.3,8.5,11,8,513.1,32.9,0.023,12.96,9.83,12.66,12.15,13.15,12.96,13.23,12.3,12.77,12.34,13.63,10.72,4.87,11.18,15.67,18.26,17.33,13.37,7.7,12,12,0.32,1.15,43.9,2.2,9.91,31.4,390.2,24,13.4,25.4,103.9,156.7,120.7,72.8,46.9,50.8,62.8,77.9,45.6,800.7,45.7,5.5,97.81,83.78,5.25,8,5.3,58,100,85.9,50,69.2,0.1,1.21,1.4,0.67,5.51,31.14,54.3,35.08,46.55,15.25,60.11,24.64,0.23,131.69,682.6,1208,667,0.427,0.41,32.8,189
64,1362497,LITTLE BEAVER KILL @ BEECHFORD NR MT TREMPER NY,41.7486741,2595.1,0.400438068,20,12,2.58,42.026936,43.2,42.019536,135.16,132.05,7.36,7.2,13.54,14.1,68.8,68,276,128.9,275,129,116.5,116,11,8,11,8,582.1,28.2,0.034,10.88,8.68,11.21,11.39,12.39,12.47,12.1,10.64,12.14,11.17,11.78,10.63,6.92,13.07,17.81,20.41,19.36,15.31,9.48,12,12,0.19,1.16,47.6,2.1,10.2,46.3,389,28.1,20.7,54.7,127,121,73.9,43.7,25.7,29.2,43.6,63.9,49,680.6,206.4,14.4,90.62,50.16,22.42,7,8.1,83,100,100,50,81,0.1,2.18,1.38,0.96,5.24,34.52,58.76,37.05,51.21,14.46,58.31,27.23,0.24,140.21,378.7,774,350,0.303,0.252,16.8,206.4
65,1362500,ESOPUS CREEK AT COLDBROOK NY,750.0394228,91097.8,30.43362406,86,13,2.38,42.09194,493.2,42.014259,137.25,132.41,5.89,7.2,11.93,14.3,68.7,68,269.1,136.4,275,129,116.1,116,10.9,8.1,11,8,528.6,32.4,0.027,11.27,8.77,11.74,11.35,12.73,12.26,11.91,10.85,12.18,11.42,12.4,10.43,5.35,11.61,16.18,18.72,17.82,13.84,8.15,78,60,0.32,3.3,46.3,2.1,10.24,32.7,391.3,24.4,14.3,30,106.9,149.4,112.1,69.1,44.5,46.7,59.3,74.5,45.7,776.7,152.8,7.3,95.36,80.36,9.61,7,5.3,58,84.7,46.7,50,77,0.1,1.59,1.4,0.74,5.35,33.89,55.83,35.38,48.13,14.99,58.81,26.2,0.23,132.33,600.5,1263,595,0.381,0.376,27.7,158.5
66,1365000,RONDOUT CREEK NEAR LOWES CORNERS NY,103.1191138,10035.3,5.75493143,81,8,2.58,41.915983,99.6,41.866482,137.98,124.42,5.87,6.8,11.64,14,69.5,69,269.5,135.7,272,132,123.8,121,12,9,12,9,529.1,30.2,0.043,10.97,8.46,11.13,11.39,13.17,12.38,12.13,11.5,12.6,11.42,12.26,10.64,5.28,11.54,16.02,18.54,17.68,13.71,8.06,72,60,0.34,1.2,49.7,2.1,10.15,32.5,572.5,25.3,15.3,34.5,114.9,141.8,98.7,62.2,42.3,44.5,57.1,74.3,47.4,758.3,196.1,5.5,98.13,80.25,3.62,8,5.3,58,74.9,68.1,50,58.2,0.1,1.19,1.41,0.68,5.43,32.32,54.9,35.39,47.14,15.3,59.84,24.86,0.23,159.35,628.8,1172,628,0.402,0.402,24.1,178.3
67,1365500,CHESTNUT CREEK AT GRAHAMSVILLE NY,41.48576104,5533.9,2.725281644,68,18,1.71,41.847134,54.4,41.845092,127.88,122.25,7.3,7.6,12.87,13.7,67.9,68,273,131.4,274,129,124,119,12.2,9.2,12,9,578.3,27,0.062,9.63,7.64,9.98,10.41,12.28,11.71,11.73,11.22,11.93,10.41,11.15,9.72,6.52,12.63,17.26,19.93,18.98,14.97,9.16,58,48,0.47,1.24,49,3,10.88,99.7,579.6,24.4,17,46.5,114.5,105.9,66.4,41.4,27.4,28.4,38.6,56.6,42.1,609.1,75.4,27.1,86.86,46.57,29.25,8,5.3,62,76.5,100,50,57.4,0.1,1.02,1.44,0.96,4.07,46.98,62.06,38.69,54.51,15.32,56.09,28.59,0.25,135.96,466.7,929,448,0.298,0.27,13,128.7
68,1366650,SANDBURG CREEK AT ELLENVILLE NY,101.2722344,5105.5,7.003933153,21,18,1.38,41.679523,139.9,41.71426,124.76,122.71,8.34,8.5,14.08,15.8,68.1,68,280,125.2,282,122,113.2,108,11,8.1,10,7,617.1,25.8,0.05,9.45,7.66,10.34,10.59,12.27,11.7,10.76,10.48,11.38,9.57,10.72,9.84,7.84,13.92,18.54,21.23,20.2,16.17,10.22,20,20,0.5,1.8,48.5,2.9,11.05,103.4,574.1,26.7,21.4,58.5,115,92.9,57.5,33.9,22.8,23.2,30.1,51,43.5,576.5,127,20.5,88.57,55.61,40.35,8,5.3,62,100,79.3,49,69.4,0.1,2.2,1.43,1,4.33,42.31,62.68,39.18,55.66,14.91,55.86,29.23,0.25,132.75,335.8,696,358,0.4,0.437,12.1,53.5
69,1369500,QUAKER CREEK AT FLORIDA NY,12.72430145,1175.9,0.195907543,43,16,2.37,41.32336,25.1,41.339261,118.11,116.24,9.82,9.9,15.52,15.8,67,67,286.5,117.3,287,117,107.4,107,10.4,7.5,10,7,672.7,22,0.065,8.93,7.2,9.5,10.49,11.38,11.04,10.71,10.46,10.91,9.12,9.66,8.86,8.93,14.88,19.59,22.22,21.18,17.18,11.06,42,30,0.82,1.24,42.3,3,11.81,474.3,572.3,31.3,28.7,67.9,96,66.6,42.1,25.9,19.4,19.7,25,44.5,43.5,510.8,409.6,71.7,38.2,15.75,150.66,11,8.4,67,99.8,99.9,50,72.6,0.12,0.9,1.47,1.65,2.58,49.77,69.14,49.96,62.75,12.26,66.9,20.84,0.25,147.65,175.2,285,169,0.334,0.297,6.4,311.3
70,137449480,EAST BRANCH CROTON RIVER NEAR PUTNAM LAKE NY,116.009053,3444.5,0.271214718,22,20,1.4,41.507683,156.1,41.44725,128.27,129.68,9.11,9.4,15.14,15.5,66.2,67,281,127.3,284,124,113.1,109,11,7.9,11,7,642,23.8,0.045,10.39,7.97,10.54,10.72,11.69,10.69,11.73,11.54,11.89,10.52,10.78,9.93,8.44,14.32,18.99,21.69,20.9,16.73,10.81,14,14,0.9,1.6,52.3,3,12.1,44.5,393.1,37.9,33.1,73.7,112.5,80.3,48.5,31,24.8,27.4,36,59.1,56.1,620.4,166.6,42.8,64.7,61.81,120.85,14,5.3,58,92.3,43,49,58.4,0.12,4.7,1.44,1.38,4.83,47.23,78.14,39.49,72.63,7.02,47.26,45.73,0.23,147.48,220.5,404,212,0.338,0.307,9.8,204.7
71,1374559,WEST BRANCH CROTON RIVER AT RICHARDSVILLE NY,21.86259107,1881.1,0.020340936,22,16,1.47,41.485102,28.9,41.470649,128.69,128.26,9,8.9,15.03,15.2,66.6,67,279.9,127.1,280,128,113.9,114,11,8,11,8,640.4,24,0.051,10.31,8.4,10.16,10.69,11.65,11.23,11.85,11.42,12.49,10.22,10.68,9.79,8.55,14.51,19.13,21.78,21.14,16.94,11.04,14,14,0.63,1.25,52,2.5,10.98,23.2,397.7,37.3,30.7,69.7,113.3,82,49.3,32.3,25,28.7,36.3,58.7,56.7,620,224.3,31.4,75.88,70.72,35,8,5.3,58,100,100,50,69.7,0.12,3.3,1.44,0.51,5.87,39.23,78.12,39.77,73.4,6.62,47.56,45.82,0.21,142.53,256,372,253,0.399,0.383,9.5,86.7
72,1374598,HORSE POUND BROOK NEAR LAKE CARMEL NY,7.412294103,1695.7,0.037513568,21,18,1.92,41.494036,10.1,41.475861,128.73,128.32,8.89,9,15.08,15.3,66.2,66,279.7,129.1,280,128,112.4,112,11,8,11,8,632.7,23,0.046,10.57,8.36,10.35,10.57,11.31,11.12,11.73,11.48,12.42,10.29,10.7,9.89,8.42,14.31,18.94,21.64,20.9,16.74,10.84,13,13,0.66,1.42,52.5,2.1,11.53,24.1,383,38,32,72,110,78,47,30,24,27,34,57,57,605.9,260.2,42.6,78.66,77.23,108.9,8,5.3,58,100,100,50,85.9,0.12,3.24,1.44,0.62,5.69,39.9,78.3,39.9,73.53,6.67,47.6,45.74,0.21,142.3,245.1,344,248,0.404,0.422,8.3,163
73,1374890,CROSS RIVER NEAR CROSS RIVER NY,32.79355102,1396.5,0.306685156,22,13,1.96,41.276431,40.7,41.260222,132.59,130.72,9.91,10.1,15.83,16.1,67.7,68,287.2,118.8,289,117,101.4,105,10,6.3,10,7,671.1,22.7,0.031,10.88,8.08,11.43,11.19,12.56,10.66,11.36,11.58,12.01,11.17,11.57,10.15,9.66,15.46,20.16,22.93,21.94,17.71,11.8,13,13,0.84,1.54,46.2,3.2,11.58,49.3,383.1,45.4,43.3,88.5,112.9,80.7,48.4,29.2,23.3,26.3,36.3,62,63.2,659.5,146.2,46.3,69,61.92,124.99,14,8.1,59,100,98.8,49,69.3,0.13,3.93,1.42,2.14,4.37,48.79,78.54,38.71,73.15,6.37,46.5,47.13,0.21,156.03,180.7,301,172,0.393,0.348,8.4,242.4
74,1374901,CROSS RIVER AT KATONAH NY,53.55490879,2907.5,3.160039675,23,20,1.76,41.269549,73.6,41.266206,131.12,127.15,10.03,10.3,15.93,16.3,67.8,67,288.1,117.5,290,115,103.2,106,10,6.6,10,7,676.4,22.1,0.034,10.79,7.94,11.19,11.11,12.43,10.63,11.34,11.41,11.92,11.01,11.43,9.97,9.73,15.52,20.22,23,22.01,17.8,11.84,15,15,0.91,1.37,45.9,3.4,11.75,54.2,383,45,43.3,87.2,107.2,76.3,46,27.9,22.2,24.9,34.2,59.2,61.3,634.7,152.7,49.3,66.56,60.08,104.86,14,8.1,59,100,58,49,80.7,0.13,3.29,1.41,2.15,3.86,48.88,79.44,39.97,74.07,6.77,47.16,46.08,0.22,156.23,161.3,301,155,0.413,0.387,7.7,255.9
75,1413398,BUSH KILL NEAR ARKVILLE NY,96.30338073,19088.6,4.559775546,21,10,2.88,42.192746,121,42.150922,117.81,103.65,5.94,6.4,11.57,13.1,67,67,265.2,141.9,265,142,121.6,122,11.5,8.5,12,8,530.8,31.9,0.061,8.58,6.56,9.8,9.63,11.33,10.98,10.95,9.63,10.79,9.97,10.45,8.93,4.62,10.79,15.46,17.92,17.06,13.2,7.46,12,12,0.3,1.28,43.4,2.5,10.68,49.1,493.3,17.9,9.6,19.4,89.7,129.5,84.7,50.4,31.8,34.9,44.8,57.9,34.3,605,89.7,19.3,88.98,80.98,9.51,8,5.3,58,100,100,50,78.1,0.11,1.21,1.36,1.25,4.19,43.9,58.08,37.15,51.41,13.21,59.32,27.47,0.23,105.62,675,1089,651,0.381,0.345,19.2,185.3
76,1413408,DRY BROOK AT ARKVILLE,188.5196632,29976,8.949552574,22,11,2.02,42.150051,212.8,42.146755,121.19,104.09,5.74,6.4,11.29,13,67.6,67,264.9,142.3,265,142,122.9,123,11.7,8.6,12,8,522.8,33,0.061,8.91,6.8,9.98,9.92,11.66,11.28,11.25,9.83,11.16,10.25,10.74,9.15,4.44,10.64,15.27,17.72,16.9,13.03,7.31,12,12,0.29,1.19,44.8,2.6,10.48,42.8,494.6,18.7,9.9,18,88.1,138.1,99.4,59.7,38.6,40.8,50.4,62.9,36,660.6,136,15.4,91.39,79.32,7.26,8,5.3,58,100,99.9,50,79.2,0.1,1.27,1.37,1.11,4.69,39.02,58.18,37.01,50.77,13.67,59.48,26.85,0.23,112.69,702.8,1178,677,0.384,0.35,21.4,212.3
77,1413500,EAST BR DELAWARE R AT MARGARETVILLE NY,318.6145826,30361.1,10.34278644,81,11,2.03,42.202688,424.1,42.14481,114.75,102.86,5.91,6.6,11.67,13.2,67.2,67,264.2,143.2,265,142,124.8,122,11.9,8.9,12,8,529.6,31.2,0.077,8.11,6.37,9.1,9.57,11.23,10.9,11.01,9.66,10.72,9.73,10.07,8.35,4.69,10.84,15.55,17.99,17.17,13.33,7.56,72,60,0.28,1.16,43.1,2.4,10.84,45.6,495.2,17.6,9.6,19.4,88.8,123.2,83.9,50.7,32.8,35.1,44.4,56.9,33.8,596.4,149.9,22.3,86.65,75.83,11.38,8,5.3,58,100,100,50,74.4,0.1,1.28,1.38,1.19,4.71,40.2,58,36.97,50.58,14.04,59.3,26.65,0.24,105.35,666.3,1178,641,0.346,0.313,20.5,172.6
78,1414000,PLATTE KILL AT DUNRAVEN NY,70.31257052,6320.7,1.646048783,43,11,2.6,42.207105,90.4,42.133143,108.02,103.02,6.38,6.8,11.92,13,66.6,66,261.4,146.4,264,143,125.3,121,12,8.9,12,8,543.6,28.5,0.117,7.03,5.61,7.57,9.32,10.69,10.77,11.47,9.65,10.29,9.05,9.21,7.17,4.82,10.89,15.67,18.11,17.33,13.49,7.65,33,25,0.42,1.13,43.2,2.1,10.28,42.5,496,16,9,22,89.8,98.3,60.1,37,24.6,26.9,35.6,48.1,30.2,497.6,165.8,29.6,82.92,75.6,8.23,8,5.3,58,100,100,50,76.3,0.1,1.18,1.4,1.71,4.68,41.3,58.03,37.38,50.52,14.55,59.65,25.8,0.24,95.38,647.3,1017,629,0.404,0.374,20.4,160.1
79,1414500,MILL BROOK NEAR DUNRAVEN NY,56.68592965,5745.6,2.050004809,81,9,2.59,42.07979,64.5,42.106199,117.46,110,5.84,6.7,11.16,12.8,67.9,67,263.7,144.7,264,144,123.8,124,12,8.4,12,9,527.5,33.8,0.087,8.41,6.32,8.7,9.71,11.55,11.42,11.52,9.89,11.24,9.99,10.31,8.37,4.55,10.7,15.37,17.84,17.05,13.18,7.44,72,60,0.25,1.24,46.1,2.9,10.03,53.3,496,20.8,10.7,16.7,88.4,153,126.3,77.6,51.7,53.3,62.3,74.2,40.4,775.5,186.1,12.5,93.19,80.46,1.23,8,5.3,58,100,100,50,84.2,0.1,1.23,1.38,0.9,5.39,32.28,57.76,36.82,49.45,14.43,60.16,25.41,0.23,104.41,715.4,1134,707,0.434,0.422,22.6,280.1
80,1415000,TREMPER KILL NEAR ANDES NY,60.66261222,5525.6,1.423974887,81,15,2.58,42.186263,85.6,42.120087,112.86,112.62,6.51,6.9,12.26,13.2,66.7,66,259.7,148.1,263,145,130.3,130,12.2,9.6,12,10,549.6,28.4,0.095,7.47,6.09,8.27,9.57,11.03,11.16,10.97,9.76,10.54,9.41,9.84,8.01,5.08,11.13,15.93,18.38,17.6,13.67,7.82,72,60,0.4,1.21,44,2,10.57,43.2,496,17.4,10.2,24,94.2,102.8,63.3,37.8,25.9,29.3,37.9,51.8,32.7,527.2,165.8,34.2,77.84,70.8,7.28,8,5.3,58,100,100,50,70,0.1,1.23,1.39,2.19,4.37,42.45,58.54,37.56,51.22,14.18,59.43,26.39,0.24,99.85,609.9,1017,605,0.348,0.34,18.3,191.3
81,1418500,BEAVER KILL AT CRAIGIE CLAIR NY,191.0272403,15501.9,9.098457355,39,16,1.96,42.014508,213,41.963144,128.48,118.43,5.86,6.8,11.08,13,68.4,68,264,144.3,266,140,129.2,132,12.2,9.4,12,10,526.2,32.6,0.068,9.72,7.23,9.78,10.39,12.38,12.27,11.93,10.67,12.15,10.91,11.37,9.7,4.47,10.64,15.29,17.81,16.97,13.04,7.35,33,21,0.4,1.37,45.9,2.6,10.56,65.4,496.6,20.6,11.3,20.7,95.5,145.5,106.1,64.3,43.9,45.7,55.4,68.5,39.7,717.2,167.8,7.8,95.2,89.63,0.82,8,5.3,58,100,100,50,88.5,0.1,1.18,1.4,0.81,5.37,34.04,56.7,36.46,48.67,14.86,60.11,25.02,0.23,121.03,718.1,1178,708,0.389,0.376,19,207.1
82,1420500,BEAVER KILL AT COOKS FALLS NY,575.6722915,54828.7,35.77968115,104,19,2.28,41.954961,627,41.946477,129.2,115.15,6.34,7,11.53,13.6,68.2,67,266.3,140.8,266,142,130.5,135,12.3,9.6,13,10,543.4,31,0.063,9.83,7.39,9.91,10.63,12.43,12.15,11.85,10.93,12.04,10.83,11.32,9.88,4.95,11.07,15.76,18.3,17.45,13.5,7.76,95,60,0.53,1.48,46.5,2.6,10.9,79,498.5,21.2,12.1,26,104.2,138.3,92.9,56.5,38.5,40.4,50.3,65.1,40.2,685.7,120.7,12.5,88.76,77.57,8.55,8,5.3,58,76.7,100,50,88.7,0.1,1.44,1.38,1.12,4.38,43.9,59.28,37.16,52.14,13.67,57.95,28.38,0.24,126.73,647.9,1178,635,0.36,0.344,15,187.5
83,1421618,TOWN BROOK SOUTHEAST OF HOBART NY,29.46177308,5489.5,0.532638007,21,12,3.35,42.363079,37.3,42.361193,109.01,104.34,5.93,6.3,11.67,13,67.1,66,262.6,145.6,261,147,137.3,133,13.1,10,13,10,531.4,29.5,0.086,7.49,6.02,8.43,9.39,11.15,10.38,10.44,9.48,10.14,8.96,9.69,7.65,4.62,10.72,15.51,17.9,17.11,13.38,7.59,12,12,0.23,1.14,38.3,2.6,10.46,45.7,495.5,17.3,9.5,20.6,91.4,111.8,68.7,41.6,28.6,31.2,41.2,53.7,33.2,548.9,165.8,49.1,64.37,59.75,5.35,8,5.3,58,100,100,50,64.2,0.11,1.2,1.36,1.22,4.07,48.13,60.94,38.58,54.3,12.66,58.74,28.6,0.24,99.85,684.1,981,664,0.37,0.327,17.8,239.7
84,1421900,W BR DELAWARE RIVER UPSTREAM FROM DELHI NY,246.0792321,11314.8,6.470119269,60,14,1.79,42.358927,347.7,42.280362,107.69,111.18,6.49,6.8,12.36,13.2,66,66,260.7,146.9,258,149,135,135,13,9.9,13,9,549.6,28.6,0.094,6.94,5.94,8.11,9.22,10.69,10.63,10.3,9.45,10.13,8.91,9.57,7.61,5.09,11.14,16.03,18.42,17.66,13.84,7.95,45,33,0.36,1.28,41.1,2.4,10.94,63.4,497,17.4,10.1,24.5,95.1,101.2,61.4,36.8,24.4,26.9,36,50.5,32.5,516.7,164,51,62.49,57.29,15.08,8,5.3,58,100,100,50,52.4,0.1,1.82,1.37,1.63,4.02,47.44,60,36.91,53.14,13.21,56.64,30.14,0.24,96.85,609.6,981,610,0.351,0.351,14.9,193.5
85,1422000,WEST BRANCH DELAWARE RIVER AT DELHI NY,230.8373273,11934.2,6.043435846,39,14,1.74,42.355765,368.7,42.271111,107.96,111.22,6.5,6.9,12.37,13.1,66,66,260.6,147,259,148,135.1,135,13,9.9,13,9,550,28.5,0.093,6.97,5.96,8.13,9.24,10.71,10.66,10.3,9.47,10.16,8.93,9.59,7.65,5.09,11.15,16.04,18.43,17.67,13.85,7.95,33,21,0.37,1.26,41.2,2.4,10.9,63,497,17.4,10.2,24.8,95.4,101.2,61.5,36.8,24.4,26.8,36,50.5,32.6,517.8,164.1,51.7,61.91,56.74,20.07,8,5.3,58,100,100,50,52,0.1,1.8,1.38,1.58,4.07,47.12,59.88,36.9,52.98,13.29,56.75,29.96,0.24,96.99,608,981,609,0.349,0.351,14.8,185.3
86,1422500,LITTLE DELAWARE RIVER NEAR DELHI NY,95.55341274,5127.6,1.846638772,59,13,2.21,42.271618,128.9,42.252308,111.66,112.1,6.47,6.8,12.16,12.7,66,66,258.9,148.8,258,149,131,135,12.3,9.4,13,9,547.9,29,0.094,7.34,6.13,8.29,9.65,10.97,11.05,10.9,9.72,10.52,9.3,9.84,7.96,4.87,10.87,15.71,18.15,17.37,13.52,7.64,45,33,0.34,1.19,42.8,2,10.73,47.5,496,17.2,9.8,22.5,93.5,106.3,65.7,40.6,26.9,30.2,39.6,52,32.5,536.8,165.8,38.9,74.85,69.17,6.04,8,5.3,58,100,100,50,61.1,0.1,1.14,1.4,1.17,4.65,42.72,58.07,37.43,50.77,14.23,59.66,26.1,0.24,98.83,641.5,1017,640,0.365,0.362,16.8,204.6
87,1423000,WEST BRANCH DELAWARE RIVER AT WALTON NY,613.0631722,29670.8,21.47845269,67,16,1.54,42.288882,859.7,42.166196,112.01,118.87,6.64,7.2,12.43,13.7,66.2,66,260.1,147.8,261,149,138.3,157,13.3,10,15,11,554.8,28.7,0.086,7.36,6.28,8.44,9.57,10.93,10.91,10.61,9.78,10.4,9.34,9.95,8.14,5.24,11.31,16.17,18.55,17.79,13.95,8,59,59,0.49,1.3,42.1,2.2,10.88,56.3,496.9,18.4,10.8,25.9,97.8,105.7,64.8,38.7,26,28.6,38.3,53.1,34.3,542.5,165.1,46.7,66.1,59.83,17.6,8,5.3,58,100,99.9,50,53.3,0.1,1.62,1.39,1.3,4.35,45.31,59.08,36.89,51.98,13.72,57.61,28.67,0.24,100.15,591.6,1017,596,0.352,0.359,15.7,190.2
88,142400103,TROUT CREEK NEAR TROUT CREEK NY,36.85248165,5530.6,0.327809836,37,11,2.8,42.220914,52.8,42.173695,114.89,114.25,7.12,7.2,12.59,13.3,67,67,264.8,145.2,265,145,144.6,145,14,10.8,14,11,571.1,28.6,0.083,7.7,6.35,8.79,9.89,10.64,10.9,10.97,9.92,10.47,9.68,9.92,8.19,6.12,12.27,17.04,19.41,18.62,14.71,8.66,26,26,0.76,1.17,40.9,2,10.78,72.2,496.6,20.1,12.5,30,101.8,104,62.9,37.8,26.6,28.1,37.1,56.3,37.5,554.7,165.8,42.8,69.32,55.56,10.17,8,5.3,58,100,100,50,57,0.12,1.17,1.36,1.65,2.89,54.93,63.9,40.67,57.71,12.68,57.81,29.52,0.24,101.53,528.8,669,539,0.554,0.586,13.3,178.5
89,1426000,OQUAGA CREEK AT DEPOSIT NY,109.5312894,9960.1,1.549734898,40,17,1.68,42.105901,174.9,42.058695,112.63,110.73,7.41,7.8,12.79,14.1,67.9,67,271.3,141,274,139,143.3,141,13.9,10.3,14,10,583.7,28.3,0.075,7.74,6.6,8.62,9.76,10.58,10.82,10.52,9.81,10.3,9.38,9.96,8.32,6.51,12.61,17.45,19.87,19.05,14.94,8.97,33,24,0.76,1.71,40.6,2,11.42,58.6,499.5,19.5,12.6,32.5,104.2,101.8,60.1,36.7,25.8,24.7,31.6,51,35.4,536,87.5,30.9,79.47,54.06,7.56,8,5.3,58,63,99.9,50,100,0.11,1.35,1.44,1.16,3.94,47.74,63.64,40.57,56.37,16.04,55.97,27.99,0.25,100.35,491,658,501,0.532,0.56,13.6,179
